Timestamp: 26370 | X_pos: 0.8699542880058289 | Y_pos: 0.7103246450424194 | yaw: 89.60650634765625 | front: 1.189 | back: 1.535 | left: 0.221 | right: 2.481 | down: 0.306 | 
Timestamp: 26470 | X_pos: 0.8696291446685791 | Y_pos: 0.7211962938308716 | yaw: 89.35089874267578 | front: 1.166 | back: 1.551 | left: 0.223 | right: 2.504 | down: 0.305 | 
Timestamp: 26570 | X_pos: 0.868947446346283 | Y_pos: 0.7385470271110535 | yaw: 89.29590606689453 | front: 1.133 | back: 1.56 | left: 0.223 | right: 2.488 | down: 0.303 | 
Timestamp: 26670 | X_pos: 0.8690685629844666 | Y_pos: 0.7547652721405029 | yaw: 89.25890350341797 | front: 1.115 | back: 1.577 | left: 0.22 | right: 2.487 | down: 0.307 | 
Timestamp: 26770 | X_pos: 0.8677959442138672 | Y_pos: 0.7665596604347229 | yaw: 89.12870788574219 | front: 1.083 | back: 1.585 | left: 0.223 | right: 2.488 | down: 0.309 | 
Timestamp: 26870 | X_pos: 0.869940996170044 | Y_pos: 0.7829058170318604 | yaw: 89.04180908203125 | front: 1.06 | back: 1.602 | left: 0.222 | right: 2.486 | down: 0.306 | 
Timestamp: 26970 | X_pos: 0.8710032105445862 | Y_pos: 0.7960116267204285 | yaw: 89.20538330078125 | front: 1.054 | back: 1.611 | left: 0.224 | right: 2.479 | down: 0.31 | 
Timestamp: 27070 | X_pos: 0.8738197088241577 | Y_pos: 0.807982861995697 | yaw: 89.48766326904297 | front: 1.034 | back: 1.615 | left: 0.228 | right: 2.477 | down: 0.31 | 
Timestamp: 27170 | X_pos: 0.8764610290527344 | Y_pos: 0.8172247409820557 | yaw: 89.3689956665039 | front: 1.015 | back: 1.63 | left: 0.229 | right: 2.494 | down: 0.311 | 
Timestamp: 27270 | X_pos: 0.8816976547241211 | Y_pos: 0.828791081905365 | yaw: 88.83760833740234 | front: 1.007 | back: 1.643 | left: 0.234 | right: 2.467 | down: 0.313 | 
